"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","466","testInvalidEmailFormat","Default Suite","Fri May 30 11:28:57 IST 2025","passed","Fri May 30 11:28:57 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","testInvalidEmailFormat"
"","662","login","Default Suite","Fri May 30 11:29:07 IST 2025","passed","Fri May 30 11:29:08 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","login"
"","425","testPasswordMinLength","Default Suite","Fri May 30 11:29:03 IST 2025","passed","Fri May 30 11:29:03 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","testPasswordMinLength"
"","1185","Signup","Default Suite","Fri May 30 11:29:10 IST 2025","passed","Fri May 30 11:29:11 IST 2025","AssetifySignup","AssetifyTestSheet","AssetifySignup","Signup"
"","692","testPasswordTooShort","Default Suite","Fri May 30 11:29:00 IST 2025","passed","Fri May 30 11:29:01 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","testPasswordTooShort"
"","1023","forgetpassword","Default Suite","Fri May 30 11:29:05 IST 2025","passed","Fri May 30 11:29:06 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","forgetpassword"
"","18496","loginPage","Default Suite","Fri May 30 11:29:13 IST 2025","broken","Fri May 30 11:29:32 IST 2025","MetaMaskAutomation","AssetifyTestSheet","MetaMaskAutomation","loginPage"
"","943","login","Default Suite","Fri May 30 11:28:54 IST 2025","passed","Fri May 30 11:28:55 IST 2025","LoginTest","AssetifyTestSheet","LoginTest","login"
"","12373","profiledetails","Default Suite","Fri May 30 11:29:33 IST 2025","passed","Fri May 30 11:29:45 IST 2025","AssetifyDashboardSettings","AssetifyTestSheet","AssetifyDashboardSettings","profiledetails"
"","489","testValidEmailFormat","Default Suite","Fri May 30 11:28:59 IST 2025","passed","Fri May 30 11:28:59 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","testValidEmailFormat"
